Day,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,0,0,0,0,46,1,0,694,1,0,77,1,0,3,1,1,929,929,929,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,162,1,0,0,0,0,93,1,11,1388,0.992074928,0,108,1,0,3,1,0.99372862,1754,1754,1754,11,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1,0,1,1,0,140,1,24,2083,0.988478157,3,118,0.974576271,1,36,0.972222222,0.989049668,2557,2557,2557,28,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1,0,1,1,0,187,1,48,2777,0.98271516,5,171,0.970760234,3,67,0.955223881,0.983495432,3393,3393,3393,56,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,239,0.9958159,0,2,1,0,234,1,86,3472,0.975230415,7,178,0.960674157,6,84,0.928571429,0.976241388,4209,4209,4209,100,0
6,0,0,0,0,0,0,0,0,0,0,0,0,2,252,0.992063492,0,2,1,0,281,1,126,4166,0.969755161,20,268,0.925373134,13,124,0.89516129,0.968387984,5093,5093,5093,161,0
7,0,0,0,0,0,0,0,0,0,0,0,0,5,301,0.983388704,0,3,1,0,327,1,179,4860,0.963168724,39,291,0.865979381,17,142,0.88028169,0.959486833,5924,5924,5924,240,0
8,0,0,0,0,0,0,0,0,0,0,0,0,7,350,0.98,0,3,1,0,374,1,244,5555,0.956075608,58,418,0.861244019,22,241,0.908713693,0.952312347,6941,6941,6941,331,0
9,0,0,0,0,0,0,0,0,0,0,0,0,11,358,0.969273743,0,4,1,0,421,1,330,6249,0.947191551,76,733,0.896316508,38,356,0.893258427,0.943972417,8121,8121,8121,455,0
10,0,0,0,0,0,0,0,0,0,0,0,0,16,461,0.965292842,0,4,1,0,468,1,429,6944,0.938220046,103,869,0.881472957,51,441,0.884353741,0.934799173,9187,9187,9187,599,0
11,0,0,0,0,0,0,0,0,0,0,0,0,29,663,0.956259427,0,5,1,0,515,1,515,7638,0.932573972,130,966,0.865424431,67,495,0.864646465,0.927932309,10282,10282,10282,741,0
12,0,0,0,0,0,0,0,0,0,0,0,0,35,716,0.951117318,0,5,1,0,562,1,616,8332,0.926068171,159,1029,0.84548105,87,560,0.844642857,0.919939307,11204,11204,11204,897,0
13,0,0,0,0,0,0,0,0,0,0,0,0,40,734,0.945504087,0,6,1,0,608,1,729,9027,0.919242273,197,1191,0.834592779,114,643,0.822706065,0.911540667,12209,12209,12209,1080,0
14,0,0,0,0,0,0,0,0,0,0,0,0,55,894,0.938478747,0,6,1,0,655,1,848,9721,0.912766176,229,1471,0.844323589,128,692,0.815028902,0.906243024,13439,13439,13439,1260,0
15,0,0,0,0,0,0,0,0,0,0,0,0,67,1056,0.93655303,0,7,1,0,702,1,974,10416,0.906490015,269,1737,0.845135291,150,710,0.788732394,0.900191414,14628,14628,14628,1460,0
16,0,0,0,0,0,0,0,0,0,0,0,0,81,1323,0.93877551,0,7,1,0,749,1,1126,11110,0.898649865,307,2637,0.883579826,181,726,0.750688705,0.897595457,16552,16552,16552,1695,0
17,0,0,0,0,0,0,0,0,0,0,0,0,104,1616,0.935643564,0,8,1,0,796,1,1294,11805,0.89038543,357,2369,0.849303504,207,793,0.738965952,0.887157071,17387,17387,17387,1962,0
18,0,0,0,0,0,0,0,0,0,0,0,0,136,2044,0.933463796,0,8,1,0,843,1,1478,12499,0.88175054,407,2690,0.848698885,231,918,0.748366013,0.881486159,19002,19002,19002,2252,0
19,0,0,0,1,0,0,0,0,0,0,0,0,152,2145,0.929137529,0,9,1,0,889,1,1660,13193,0.874175699,472,3016,0.843501326,266,1003,0.734795613,0.87415453,20255,20255,20255,2551,0
20,0,0,0,2,0,0,0,0,0,0,0,0,174,2523,0.931034483,0,9,1,0,936,1,1872,13888,0.865207373,539,3251,0.83420486,307,1070,0.713084112,0.866678968,21677,21677,21677,2894,0
21,0,0,0,3,0,0,0,0,0,0,0,0,210,2993,0.929836285,0,10,1,0,983,1,2074,14582,0.857769853,613,3590,0.829247911,349,1097,0.681859617,0.860546119,23255,23255,23255,3249,0
22,0,0,0,4,0,0,0,0,0,0,0,0,274,3638,0.924683892,0,10,1,0,1030,1,2287,15277,0.850297833,699,3715,0.811843876,381,1187,0.679022746,0.853683067,24857,24857,24857,3645,0
23,0,0,0,4,0,0,0,0,0,0,0,0,349,4271,0.918286116,0,11,1,0,1077,1,2529,15971,0.841650492,786,3759,0.790901836,427,1313,0.674790556,0.845201121,26402,26402,26402,4095,0
24,0,0,0,7,0,0,0,0,0,0,0,0,409,4888,0.916325696,0,11,1,0,1124,1,2789,16665,0.832643264,877,3854,0.772444214,470,1419,0.668780832,0.837702514,27961,27961,27961,4552,0
25,0,0,0,8,0,0,0,0,0,0,0,0,474,5640,0.915957447,0,37,1,0,1170,1,3038,17360,0.825,970,4003,0.757681739,523,1448,0.638812155,0.831512577,29658,29658,29658,5013,0
26,0,0,0,13,0,0,0,0,0,0,0,0,558,6162,0.909444985,0,63,1,0,1217,1,3277,18054,0.818488978,1065,4082,0.739098481,586,1484,0.605121294,0.823804005,31062,31062,31062,5499,0
27,0,0,0,19,0,0,0,0,0,0,0,0,639,6729,0.905037896,0,89,1,1,1264,0.999208861,3530,18749,0.811723292,1148,4161,0.724104783,631,1498,0.578771696,0.817482302,32490,32490,32490,5968,0
28,0,0,0,24,0,0,0,0,0,0,0,0,712,7093,0.899619343,0,115,1,5,1311,0.996186117,3766,19443,0.806305611,1248,4240,0.705660377,683,1508,0.547082228,0.810442005,33710,33710,33710,6438,0
29,0,0,0,32,0,0,0,0,0,0,0,0,805,7532,0.893122677,0,118,1,13,1358,0.990427099,4024,20137,0.800168843,1335,4319,0.690900671,736,1520,0.515789474,0.803310085,34984,34984,34984,6945,0
30,0,0,0,42,0,0,0,0,0,0,0,0,900,8274,0.891225526,0,121,1,26,1405,0.981494662,4307,20832,0.793250768,1436,4398,0.673487949,796,1525,0.478032787,0.796936124,36555,36555,36555,7507,0
31,0,0,0,52,0,0,0,0,0,0,0,0,997,8661,0.884886272,0,123,1,41,1452,0.971763085,4577,21526,0.787373409,1540,4477,0.656019656,852,1754,0.514253136,0.790619325,37993,37993,37993,8059,0
32,0,0,0,55,0,0,0,0,0,0,0,0,1104,9125,0.879013699,0,126,1,60,1498,0.959946595,4851,22221,0.781692993,1657,4556,0.636303775,901,1983,0.545637922,0.784403554,39509,39509,39509,8628,0
33,0,0,0,59,0,0,0,0,0,0,0,0,1209,9389,0.871232293,0,126,1,75,1545,0.951456311,5107,22915,0.777132882,1770,4635,0.618122977,960,2213,0.566199729,0.778017294,40823,40823,40823,9180,0
34,0,0,0,68,0,0,1,0,0,0,0,0,1314,9854,0.866653136,0,126,1,94,1592,0.940954774,5373,23610,0.772426938,1882,4713,0.600678973,1016,2442,0.583947584,0.773011786,42337,42337,42337,9748,0
35,0,0,0,81,0,0,1,0,0,0,0,0,1414,10158,0.86079937,0,126,1,117,1639,0.928615009,5682,24304,0.766211323,1994,4792,0.583889816,1077,2671,0.596780232,0.766491188,43690,43690,43690,10366,0
36,0,0,0,96,0,0,1,0,0,0,0,0,1504,10622,0.85840708,0,126,1,140,1686,0.916963227,5962,24998,0.76150092,2122,4871,0.564360501,1138,2900,0.607586207,0.7617636,45203,45203,45203,10963,0
37,0,0,0,111,0,0,1,0,0,0,0,0,1636,10708,0.847217034,0,126,1,156,1733,0.909982689,6255,25693,0.756548476,2240,4950,0.547474747,1198,3129,0.617130074,0.754569585,46339,46339,46339,11597,0
38,0,0,0,131,0,0,1,0,0,0,0,0,1750,11114,0.842540939,0,126,1,176,1779,0.901068016,6543,26387,0.752036988,2348,5029,0.533107974,1250,3358,0.627754616,0.750277237,47793,47793,47793,12199,0
39,0,0,0,134,0,0,1,0,0,0,0,0,1886,11574,0.837048557,0,126,1,193,1826,0.894304491,6822,27082,0.748098368,2482,5108,0.514095536,1301,3588,0.637402453,0.74547704,49304,49304,49304,12819,0
40,0,0,0,146,0,0,1,0,0,0,0,0,2019,11728,0.827847885,1,126,0.992063492,207,1873,0.889482114,7094,27776,0.744599654,2590,5187,0.500674764,1371,3817,0.640817396,0.739937038,50507,50507,50507,13429,0
41,0,0,0,166,0,0,1,0,0,0,0,0,2131,12088,0.823709464,1,126,0.992063492,225,1920,0.8828125,7370,28470,0.741131015,2716,5266,0.484238511,1431,4046,0.64631735,0.735977348,51916,51916,51916,14041,0
42,0,0,0,187,0,0,1,0,0,0,0,0,2244,12387,0.818842335,1,126,0.992063492,246,1967,0.874936451,7663,29165,0.737253557,2836,5345,0.469410664,1492,4275,0.650994152,0.731643668,53265,53265,53265,14670,0
43,0,0,0,206,0,0,1,0,0,0,0,0,2351,12618,0.813678871,1,155,0.993548387,267,2014,0.867428004,7954,29859,0.733614656,2963,5423,0.453623456,1561,4504,0.653419183,0.727154454,54573,54573,54573,15304,0
44,0,0,0,221,0,0,1,0,0,0,0,0,2473,12891,0.808160732,1,184,0.994565217,294,2060,0.857281553,8232,30554,0.730575375,3092,5502,0.438022537,1648,4733,0.651806465,0.722516272,55924,55924,55924,15962,0
45,0,0,0,244,0,0,1,0,0,0,0,0,2593,13216,0.803798426,1,213,0.995305164,319,2107,0.848599905,8518,31248,0.727406554,3208,5581,0.425192618,1709,4963,0.655651823,0.719107591,57328,57328,57328,16593,0
46,0,0,0,268,0,0,1,0,0,0,0,0,2716,13515,0.799038106,1,227,0.995594714,337,2154,0.84354689,8838,31943,0.723319663,3336,5660,0.410600707,1776,5192,0.657935285,0.714862585,58691,58691,58691,17273,0
47,0,0,0,284,0,0,2,0,0,0,0,0,2859,13855,0.793648502,1,240,0.995833333,353,2201,0.839618355,9114,32637,0.720746392,3450,5739,0.398849974,1836,5421,0.6613171,0.711663588,60093,60093,60093,17899,0
48,0,0,0,301,8,36.625,2,0,0,0,0,0,2995,14277,0.790222035,1,254,0.996062992,394,2248,0.824733096,9397,33331,0.718070265,3570,5818,0.386387075,1900,5650,0.663716814,0.708212906,61586,61586,61586,18560,0
49,0,0,0,327,17,18.23529412,3,0,0,0,0,0,3126,14469,0.783951897,2,268,0.992537313,423,2295,0.815686275,9691,34026,0.715188385,3701,5897,0.372392742,1955,5879,0.667460452,0.704030167,62851,62851,62851,19228,0
50,0,0,0,347,26,12.34615385,3,0,0,0,0,0,3244,14652,0.778596779,3,281,0.989323843,450,2341,0.807774455,9966,34720,0.712960829,3825,5976,0.359939759,2015,6108,0.670104781,0.700408711,64104,64104,64104,19853,0
51,0,0,0,366,34,9.764705882,4,0,0,0,0,0,3358,15107,0.777718938,3,295,0.989830508,477,2388,0.800251256,10263,35415,0.710207539,3945,6055,0.348472337,2095,6338,0.669454086,0.697723671,65632,65632,65632,20511,0
52,0,0,0,388,43,8.023255814,4,0,0,0,0,0,3482,15402,0.773925464,3,295,0.989830508,503,2435,0.793429158,10541,36109,0.708078318,4067,6133,0.336866134,2154,6567,0.671996345,0.694792786,66984,66984,66984,21142,0
53,0,0,0,425,52,7.173076923,4,0,0,0,0,0,3589,15676,0.771051289,4,296,0.986486486,528,2482,0.787268332,10853,36803,0.705105562,4203,6212,0.32340631,2208,6796,0.675103002,0.691731194,68317,68317,68317,21814,0
