Day,Mahama sim,Mahama data,Mahama error,Nduta sim,Nduta data,Nduta error,Nyarugusu sim,Nyarugusu data,Nyarugusu error,Nakivale sim,Nakivale data,Nakivale error,Lusenda sim,Lusenda data,Lusenda error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
0,0,0.0,0.0,0,0.0,0.0,0,1826,1.0,0,0.0,0.0,0,0.0,0.0,1.0,1826,1826,1826,0,0,0,1.0
1,0,760,1.0,1,10,0.9,1,3461,0.999711066166,0,185,1.0,0,0,0.0,0.9995471014492754,4416,4416,4416,0,2,0,0.4134963768115942
2,0,1521,1.0,2,21,0.904761904762,6,5097,0.998822836963,1,370,0.997297297297,0,0,0.0,0.9987159366528748,7009,7009,7009,0,9,0,0.2600941646454558
3,3,2282,0.998685363716,1,32,0.96875,16,6732,0.997623291741,4,555,0.992792792793,0,0,0.0,0.9975002603895428,9601,9601,9601,0,24,0,0.18935527549213624
4,7,3043,0.997699638515,1,43,0.976744186047,26,8367,0.996892554082,8,740,0.989189189189,0,0,0.0,0.9965554006397113,12193,12193,12193,0,42,0,0.1489379151972443
5,7,3804,0.998159831756,6,54,0.888888888889,30,10003,0.99700089973,20,925,0.978378378378,0,0,0.0,0.9957392127688354,14786,14786,14786,0,63,0,0.12369809279047748
6,14,4564,0.996932515337,10,65,0.846153846154,48,11638,0.995875579997,39,1110,0.964864864865,0,0,0.0,0.9936122460723945,17377,17377,17377,0,111,0,0.10594463946596075
7,20,5325,0.996244131455,18,76,0.763157894737,75,13273,0.994349431176,54,1295,0.958301158301,0,0,0.0,0.9916370374079824,19969,19969,19969,0,167,0,0.0922930542340628
8,29,6086,0.995234965495,31,87,0.64367816092,104,14909,0.993024347709,61,1480,0.958783783784,0,0,0.0,0.9900274798333482,22562,22562,22562,0,225,0,0.08168602074284195
9,35,6847,0.994888272236,39,98,0.602040816327,151,16544,0.990872823985,82,1665,0.950750750751,0,0,0.0,0.987795181680846,25154,25154,25154,0,307,0,0.07279160372107815
10,45,7608,0.994085173502,53,109,0.51376146789,186,18179,0.989768414104,98,1850,0.947027027027,0,0,0.0,0.9862322496936495,27746,27746,27746,0,382,0,0.06617170042528653
11,60,8368,0.992829827916,64,120,0.466666666667,237,19815,0.988039364118,126,2035,0.938083538084,0,0,0.0,0.9839475245566616,30338,30338,30338,0,487,0,0.0606170479266926
12,83,9129,0.990908095082,76,131,0.419847328244,310,21450,0.985547785548,148,2220,0.933333333333,0,0,0.0,0.9812632857576677,32930,32930,32930,0,617,0,0.05535985423625873
13,115,9890,0.988372093023,92,142,0.352112676056,380,23085,0.98353909465,169,2405,0.92972972973,0,0,0.0,0.978717414559991,35522,35522,35522,0,756,0,0.051292156973143405
14,134,10651,0.987419021688,105,153,0.313725490196,458,24721,0.981473241374,193,2590,0.925482625483,0,0,0.0,0.9766496130132494,38115,38115,38115,0,890,0,0.047225501770956316
15,163,11412,0.985716789345,140,164,0.146341463415,548,26556,0.979364362103,223,2775,0.91963963964,0,0,0.0,0.9737453247610434,40907,40907,40907,0,1074,0,0.04410003177940206
16,194,12173,0.984063090446,146,175,0.165714285714,675,28392,0.97622569738,250,2960,0.915540540541,0,0,0.0,0.9710526315789474,43700,43700,43700,0,1265,0,0.039839816933638444
17,233,12933,0.981984071754,160,186,0.139784946237,809,30228,0.973236734154,277,3145,0.911923688394,0,0,0.0,0.9681880753678053,46492,46492,46492,0,1479,0,0.03628581261292265
18,283,13694,0.979334014897,177,197,0.10152284264,957,32064,0.970153443114,316,3330,0.905105105105,0,0,0.0,0.9648371715532109,49285,49285,49285,0,1733,0,0.03337729532312062
19,318,14455,0.978000691802,189,208,0.0913461538462,1122,33899,0.966901678516,357,3515,0.898435277383,0,0,0.0,0.9618641626821821,52077,52077,52077,0.06177606177606178,1986,0,0.03093496169134167
20,371,15216,0.975617770768,207,219,0.0547945205479,1283,36075,0.964435204435,414,3700,0.888108108108,0,0,0.0,0.958793696794059,55210,55210,55210,0.17335907335907336,2275,0,0.029976453541025176
21,427,15977,0.973274081492,226,230,0.0173913043478,1457,38250,0.961908496732,458,3885,0.882110682111,0,0,0.0,0.9559836824243255,58342,58342,58342,0.2864864864864865,2568,0,0.028727160536148915
22,487,16737,0.970902790225,246,241,0.0207468879668,1665,40425,0.958812615955,503,4070,0.876412776413,0,0,0.0,0.9529712231386137,61473,61473,61473,0.41505791505791506,2901,0,0.02734533860393994
23,541,17498,0.969082180821,256,252,0.015873015873,1885,42601,0.955752212389,553,4256,0.870065789474,0,0,0.0,0.9500518519665052,64607,64607,64607,0.544015444015444,3235,0,0.025740244865107495
24,611,18259,0.966537050222,266,263,0.0114068441065,2145,44776,0.952094872253,609,4441,0.862868723261,0,0,0.0,0.946485776288401,67739,67739,67739,0.696911196911197,3631,0,0.024240098023295294
25,684,19020,0.96403785489,298,274,0.0875912408759,2366,45175,0.947625899281,661,4626,0.857111975789,0,0,0.0,0.9426731311961791,69095,69095,69095,0.8428571428571429,4009,0,0.024256458499167813
