Day,Amboko sim,Amboko data,Amboko error,Belom sim,Belom data,Belom error,Dosseye sim,Dosseye data,Dosseye error,Gondje sim,Gondje data,Gondje error,Moyo sim,Moyo data,Moyo error,East sim,East data,East error,Adamaoua sim,Adamaoua data,Adamaoua error,Mole sim,Mole data,Mole error,Bili sim,Bili data,Bili error,Boyabu sim,Boyabu data,Boyabu error,Mboti sim,Mboti data,Mboti error,Inke sim,Inke data,Inke error,Betou sim,Betou data,Betou error,Brazaville sim,Brazaville data,Brazaville error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
0,7000,6989.13779432,0.00155415531926,16527,16539.8596955,0.000777497253828,8946,8955.48336576,0.00105894515975,7119,7122.14789253,0.000441986403389,5956,5963.58039072,0.00127111403243,0,0.0,0.0,0,0.0,0.0,3031,0.0,0.0,0,0.0,0.0,4828,4833.02133085,0.00103896310508,6499,6505.0,0.000922367409685,6643,6649.70184852,0.0010078419559,3424,3429.25571505,0.00153261100423,0,0.0,0.0,0.036428457386391465,66987,85041,85041,0.40530130422917915,69973,0,0.04211858972145619
1,7034,6989.13779432,0.00641884693081,16521,16539.8596955,0.00114025728387,8947,8955.48336576,0.000947281728623,7108,7122,0.00196573996069,5957,5963.58039072,0.00110342953176,0,35,1.0,0,25,1.0,4465,3086,0.446856772521,0,0,0.0,4829,4833.02133085,0.000832053196859,6864,6505.0,0.0551883166795,6639,10365,0.359479015919,3509,3914,0.103474706183,0,21,1.0,0.06543667675070455,74354,92407,92407,0.6632118781726656,71873,0,0.061086356969735585
2,7060,6989.13779432,0.010138905222,16533,16539.8596955,0.000414737223787,8950,8955.48336576,0.000612291435249,7102,7122,0.00280819994384,6033,5963.58039072,0.0116405925189,29,70,0.585714285714,0,51,1.0,5978,6172,0.0314322747894,0,0,0.0,4828,4833.02133085,0.00103896310508,7180,6505.0,0.10376633359,6658,14081,0.527164263902,3689,4400,0.161590909091,0,43,1.0,0.09336372955026213,81725,99778,99778,0.9573656748755788,74040,0,0.07695730729285068
3,7112,6989.13779432,0.0175790218044,16566,16539.8596955,0.00158044294143,8953,8955.48336576,0.000277301141875,7093,7122,0.00407188991856,6086,5963.58039072,0.0205278710542,87,105,0.171428571429,4,76,0.947368421053,7583,9258,0.180924605746,0,0,0.0,4826,4833.02133085,0.00145278292152,7536,6505.0,0.158493466564,6753,17797,0.620554025959,3914,4886,0.198935734752,0,64,1.0,0.14172983672974673,89094,107147,107147,1.2928934232611282,76513,0,0.09216242000319348
4,7167,6989.13779432,0.0254483758819,16616,16539.8596955,0.00460344319177,8958,8955.48336576,0.000281016013747,7085,7122,0.0051951698961,6153,5963.58039072,0.0317627325988,178,140,0.271428571429,26,102,0.745098039216,7607,9258,0.178332253186,0,0,0.0,4828,4862,0.00699300699301,7663,6506,0.177835843836,6758,17834,0.62106089492,4210,5372,0.216306775875,0,86,1.0,0.14624834159420502,89730,107782,107782,1.3927441897785613,77249,0,0.09551650632346244
5,7217,6989.13779432,0.0326023341342,16660,16539.8596955,0.00726368341207,8955,8955.48336576,5.39742796262e-05,7079,7122,0.00603762987925,6203,5963.58039072,0.0401469576321,292,175,0.668571428571,52,127,0.590551181102,7608,9258,0.178224238496,0,0,0.0,4827,4892,0.0132869991823,7695,6507,0.182572614108,6758,17872,0.621866606983,4520,5857,0.228273860338,0,107,1.0,0.1501969754303601,90365,108417,108417,1.4764506068183119,77866,0,0.10069386550155578
6,7285,6989.13779432,0.0423317173573,16717,16539.8596955,0.0107099036975,8960,8955.48336576,0.000504342875997,7073,7122,0.0068800898624,6239,5963.58039072,0.0461835996561,429,210,1.04285714286,77,153,0.496732026144,7602,9258,0.178872326636,0,0,0.0,4833,4922,0.0180820804551,7725,6508,0.187000614628,6758,17909,0.6226478307,4820,6343,0.240107204793,0,129,1.0,0.15462008503774832,91002,109054,109054,1.5649053619397335,78518,0,0.10616722068475644
7,7344,6989.13779432,0.0507733880949,16774,16539.8596955,0.0141561239828,8962,8955.48336576,0.000727669738246,7069,7122,0.00744172985117,6295,5963.58039072,0.0555739316934,563,245,1.29795918367,125,178,0.297752808989,7605,9258,0.178548282566,0,0,0.0,4830,4952,0.0246365105008,7725,6509,0.186818251652,6758,17947,0.623446815624,5141,6829,0.247181139259,0,150,1.0,0.15834569016051242,91638,109690,109690,1.6562091199101583,79191,0,0.11189680084379094
8,7366,6989.13779432,0.053921129726,16843,16539.8596955,0.0183278643283,9002,8955.48336576,0.00519420698323,7064,7122,0.00814377983712,6344,5963.58039072,0.063790472226,738,280,1.63571428571,212,204,0.0392156862745,7601,9258,0.178980341326,0,0,0.0,4834,4982,0.029706945002,7725,6510,0.1866359447,6758,17984,0.624221530249,5459,7314,0.253623188406,1,172,0.994186046512,0.16227307029808574,92274,110326,110326,1.7587732224742607,79947,0,0.11822161070697557
9,7366,6989.13779432,0.053921129726,16895,16539.8596955,0.0214717845886,9060,8955.48336576,0.0116706859885,7061,7122,0.0085650098287,6404,5963.58039072,0.073851542266,919,315,1.91746031746,285,229,0.244541484716,7593,9258,0.179844458846,0,0,0.0,4842,5011,0.0337258032329,7725,6511,0.186453693749,6758,18022,0.625013871934,5762,7800,0.261282051282,4,193,0.979274611399,0.16705814433635788,92909,110961,110961,1.8574029877706928,80674,0,0.12419604566341134
10,7364,6989.13779432,0.0536349713959,16958,16539.8596955,0.0252807649041,9117,8955.48336576,0.0180355015626,7054,7122,0.00954787980904,6460,5963.58039072,0.0832418743033,1084,350,2.09714285714,347,255,0.360784313725,7589,9258,0.180276517606,0,0,0.0,4846,5041,0.0386828010315,7725,6512,0.186271498771,6758,18059,0.625782158481,6061,8286,0.268525223268,6,215,0.972093023256,0.17166023363955094,93546,111598,111598,1.9516914153924536,81369,0,0.12989406103028536
11,7364,6989.13779432,0.0536349713959,17028,16539.8596955,0.0295129652545,9177,8955.48336576,0.02473530743,7050,7122,0.0101095197978,6519,5963.58039072,0.0931352598426,1247,385,2.23896103896,416,280,0.485714285714,7584,9258,0.180816591056,0,0,0.0,4851,5071,0.0433839479393,7725,6513,0.186089359742,6758,18097,0.626567939437,6363,8772,0.27462380301,14,236,0.940677966102,0.1762918434138194,94182,112234,112234,2.0503348382219806,82096,0,0.135653344110143
12,7364,6989.13779432,0.0536349713959,17104,16539.8596955,0.0341079256351,9243,8955.48336576,0.0321050938842,7043,7122,0.0110923897782,6569,5963.58039072,0.101519484876,1473,420,2.50714285714,475,306,0.552287581699,7582,9258,0.181032620436,0,0,0.0,4853,5101,0.0486179180553,7725,6514,0.185907276635,6758,18135,0.62735042735,6684,9257,0.277951820244,23,258,0.910852713178,0.18120632185155272,94819,112871,112871,2.158897736851374,82896,0,0.14203752445586365
13,7364,6989.13779432,0.0536349713959,17191,16539.8596955,0.0393679460706,9310,8955.48336576,0.0395865437696,7035,7122,0.0122156697557,6637,5963.58039072,0.112922030921,1678,455,2.68791208791,531,331,0.604229607251,7578,9258,0.181464679196,0,0,0.0,4857,5131,0.0534008965114,7725,6515,0.185725249424,6758,18172,0.628109178957,6979,9743,0.283690854973,31,280,0.889285714286,0.1863756310510066,95455,113507,113507,2.264475155768459,83674,0,0.1481927759773211
14,7364,6989.13779432,0.0536349713959,17273,16539.8596955,0.0443256664812,9366,8955.48336576,0.0458396959126,7030,7122,0.0129177197416,6651,5963.58039072,0.115269613931,1891,490,2.85918367347,593,357,0.66106442577,7575,9258,0.181788723266,0,0,0.0,4860,5160,0.0581395348837,7725,6516,0.185543278085,6758,18210,0.628885227897,7247,10229,0.291524098152,45,301,0.85049833887,0.19113689629418018,96091,114143,114143,2.3600105065623254,84378,0,0.15347342739246198
15,7364,6989.13779432,0.0536349713959,17347,16539.8596955,0.0487997068517,9425,8955.48336576,0.0524278383489,7026,7122,0.0134793597304,6650,5963.58039072,0.11510192943,2108,525,3.01523809524,642,382,0.680628272251,7568,9258,0.182544826096,0,0,0.0,4867,5190,0.0622350674374,7725,6517,0.18536136259,6758,18247,0.629637748671,7546,10715,0.295753616426,55,323,0.829721362229,0.1953662146708597,96727,114779,114779,2.4554101537329047,85081,0,0.1589395048123593
16,7364,6989.13779432,0.0536349713959,17414,16539.8596955,0.0528505271871,9483,8955.48336576,0.0589043173541,7021,7122,0.0141814097164,6650,5963.58039072,0.11510192943,2296,560,3.1,681,408,0.669117647059,7566,9258,0.182760855476,0,0,0.0,4869,5220,0.0672413793103,7725,6519,0.184997699034,6758,18285,0.630407437791,7808,10715,0.271301913206,66,344,0.808139534884,0.19606493246997422,96879,114931,114931,2.5395464001706847,85701,0,0.16881361358430524
17,7364,6989.13779432,0.0536349713959,17510,16539.8596955,0.0586546876678,9536,8955.48336576,0.0648224792037,7013,7122,0.0153046896939,6647,5963.58039072,0.114598875928,2479,595,3.16638655462,734,433,0.695150115473,7567,9258,0.182652840786,0,0,0.0,4868,5250,0.0727619047619,7725,6520,0.18481595092,6758,18322,0.63115380417,8080,10715,0.245916938871,83,366,0.773224043716,0.1969303251944857,97029,115081,115081,2.6295179024097948,86364,0,0.1793251485723776
18,7364,6989,0.0536557447417,17588,16549,0.0627832497432,9588,8972,0.0686580472581,7008,7122,0.0160067396799,6637,5967,0.112284229931,2666,630,3.23174603175,780,459,0.699346405229,7561,9258,0.183300928926,0,0,0.0,4874,5280,0.0768939393939,7725,6521,0.184634258549,6758,18360,0.631917211329,8315,10715,0.223985067662,96,387,0.751937984496,0.19756203366302272,97209,115260,115260,2.7103972618886925,86960,0,0.18879852006643924
19,7364,6989,0.0536557447417,17666,16559,0.0668518630352,9655,8989,0.0740905551229,6998,7122,0.0174108396518,6628,5971,0.110031820466,2849,665,3.28421052632,830,484,0.714876033058,7560,9258,0.183408943616,0,0,0.0,4875,5309,0.0817479751366,7725,6522,0.184452621895,6758,18397,0.632657498505,8562,10715,0.200933271115,106,409,0.740831295844,0.19827616077616078,97389,115440,115440,2.7939906938333254,87576,0,0.1985353207108263
20,7364,6989,0.0536557447417,17741,16568,0.0707991308547,9703,9006,0.0773928492116,6993,7122,0.0181128896377,6627,5976,0.108935742972,3026,700,3.32285714286,869,510,0.703921568627,7559,9258,0.183516958306,0,0,0.0,4876,5339,0.0867203596179,7725,6523,0.184271040932,6758,18435,0.633414700298,8801,10715,0.178628091461,117,430,0.727906976744,0.19873380498521043,97571,115622,115622,2.873105906209496,88159,0,0.20764143002938704
21,7364,6989,0.0536557447417,17717,16578,0.0687055133309,9755,9023,0.0811260113044,6988,7122,0.0188149396237,6619,5980,0.106856187291,3232,735,3.39727891156,911,535,0.702803738318,7557,9258,0.183732987686,0,0,0.0,4878,5369,0.0914509219594,7725,6524,0.184089515635,6758,18473,0.634168786878,9019,10715,0.158282781148,125,452,0.723451327434,0.19881005837449484,97753,115804,115804,2.9394649779967126,88648,0,0.21522501315030385
