Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
0,1450,0.0,0.0,0,0.0,0.0,0,0.0,0.0,698,698.623001131,0.000891755824909,875,875.309917355,0.000354065856249,0,0.0,0.0,0,0.0,0.0,0.0749332705926791,1573,19363,19363,1.811485642946317,3023,0,0.0014460569126684914
1,2833,808,2.50618811881,0,0,0.0,0,0,0.0,698,691,0.0101302460203,875,874,0.00114416475973,0,0,0.0,0,0,0.0,0.10504288519169164,2373,19363,19354,3.5375,4406,9,0.002738451999586649
2,4016,1616,1.48514851485,0,0,0.0,0,0,0.0,698,684,0.0204678362573,875,874,0.00114416475973,0,0,0.0,0,0,0.0,0.12482555434951155,3174,19363,19347,5.015,5589,16,0.003876570010854396
3,5155,2425,1.12577319588,0,0,0.0,0,0,0.0,698,677,0.0310192023634,875,874,0.00114416475973,0,0,0.0,0,0,0.0,0.14228840287472208,3976,19363,19341,6.438202247191011,6728,22,0.005066956207021353
4,6194,3233,0.915867615218,0,0,0.0,0,0,0.0,698,670,0.0417910447761,875,873,0.00229095074456,0,0,0.0,0,0,0.0,0.1547175667287399,4776,19363,19332,7.702863961813843,7767,31,0.006000413821642872
5,7106,4041,0.758475624845,0,0,0.0,0,0,0.0,698,663,0.052790346908,875,873,0.00229095074456,0,0,0.0,0,0,0.0,0.16051746442432083,5577,19363,19325,8.793062200956937,8679,38,0.006830530401034929
6,7907,4850,0.630309278351,0,0,0.0,0,0,0.0,698,655,0.0656488549618,875,872,0.00344036697248,0,0,0.0,0,0,0.0,0.1606357094786975,6377,19363,19317,9.749403341288783,9480,46,0.007558109437283222
7,8714,5658,0.540120183811,0,0,0.0,0,0,0.0,698,648,0.0771604938272,875,872,0.00344036697248,0,0,0.0,0,0,0.0,0.16100466079751424,7178,19363,19310,10.714114832535886,10287,53,0.008389435525634386
8,9442,6503,0.451945256036,0,0,0.0,0,0,0.0,698,641,0.0889235569423,875,872,0.00344036697248,0,0,0.0,0,0,0.0,0.15671212833777498,8016,19363,19137,11.583532219570406,11015,226,0.009092334221664838
9,10102,7347,0.374982986253,0,0,0.0,0,0,0.0,698,634,0.10094637224,875,871,0.00459242250287,0,0,0.0,0,0,0.0,0.14887670076996098,8852,19363,18962,12.371565113500598,11675,401,0.009809091867946419
